year,songName,songURI,artistName,artistURI,albumName,albumURI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,mode,key,time_signature,popularity
1980,Please Don't Go,spotify:track:6dw6BquK0Mv72p6HpusqKN,KC & The Sunshine Band,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,Do You Wanna Go Party,spotify:album:1VyflnFsIEfcxPj4JgM5QR,0.00888,0.482,0.615,1.78e-06,0.0431,-11.093,0.0398,96.307,0.437,230533,1,6,4,48
1980,Babe,spotify:track:5W7YROOF6bFfBexY81LFjt,Styx,spotify:artist:4salDzkGmfycRqNUbyBphh,Cornerstone,spotify:album:0RhPpU4BvtF44qdvFnGQuh,0.527,0.267,0.204,0,0.0924,-13.714,0.0317,169.486,0.0903,265973,1,2,4,63
1980,With You I'm Born Again,spotify:track:7wlPnBfcywEctiVWwCdxvn,Billy Preston;Syreeta Wright,"spotify:artist:0IecGJbdBeYSOVtSPRehh5,spotify:artist:1w9siRuoCBkWA60hGoXZCQ",Ultimate Collection: Billy Preston,spotify:album:2Kv2oy0Ke1wrZ9DgWQrVFj,0.866,0.348,0.313,0.000257,0.13,-11.379,0.0324,82.004,0.356,220600,1,10,3,44
1980,Shining Star,spotify:track:4VO88hvgij1NzgmGpV1MPV,The Manhattans,spotify:artist:1DpIDwg8FGD50N9Tfunfsf,The Best Of The Manhattans: Kiss And Say Goodbye,spotify:album:4shPsyHdXeoYwJeqt10Ttq,0.0291,0.551,0.432,0,0.0563,-11.717,0.0379,74.513,0.617,279400,1,9,4,48
1980,Still,spotify:track:3CCAa0auFYGQMIsaext34S,Commodores,spotify:artist:6twIAGnYuIT1pncMAsXnEm,The Commodores: The Definitive Collection,spotify:album:4mDGyVthoID64WAcff0HxR,0.922,0.393,0.175,0.000138,0.109,-11.687,0.0315,124.684,0.193,348093,1,1,4,30
1980,Yes I'm Ready,spotify:track:2kAd9Wgf2bMsKa0nCHFxlP,Teri DeSario;KC & The Sunshine Band,"spotify:artist:0234x9nNrcIxRQ51AFqgJx,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo",The Casablanca Records Story,spotify:album:2FQe9IhPGZe49IVQlvzzxM,0.787,0.673,0.362,0.000177,0.0824,-15.352,0.0273,106.142,0.57,196493,1,5,3,0
1980,Sexy Eyes - Single Version,spotify:track:6uxGAruWvj6O2hVBBTNITa,Dr. Hook,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,Dr. Hook - The Best Of,spotify:album:7duyaPactGiBSLDpyx2moF,0.373,0.734,0.735,0,0.227,-10.13,0.0524,103.862,0.883,177427,0,9,4,55
1980,Steal Away (Redux 1999),spotify:track:75G9qtlYOc6VIL2pGtClbO,Robbie Dupree,spotify:artist:3jrgftS3TYbNxcPt5itKhz,Vintage Tracks,spotify:album:7H89lwP9uO1wjzif4W5lQk,0.117,0.792,0.503,1.72e-05,0.0585,-12.769,0.0463,119.943,0.869,211107,1,2,4,0
1980,Biggest Part of Me,spotify:track:6JHXiRD1QjMK1N6AQEnL04,Ambrosia,spotify:artist:0J2Ej2rMQyqaUX3G6MUISw,One Eighty,spotify:album:4WsQBaO2DLvDZ5VRmsXbUH,0.238,0.498,0.723,0,0.353,-8.053,0.05,153.227,0.882,324040,1,10,4,63
1980,This Is It,spotify:track:0YO8KsprTrEUEvJevpI7Na,Kenny Loggins,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,Keep The Fire,spotify:album:3Z9IvbRwLHwLXXBlPFKg3B,0.254,0.641,0.497,2.2e-06,0.159,-12.228,0.029,102.274,0.743,236733,0,7,4,52
1980,Cupid / I've Loved You for a Long Time,spotify:track:6zKFVGEDGLtf63Yxpz8kzJ,The Spinners,spotify:artist:5fbhwqYYh4YwUoEs582mq5,The Very Best Of,spotify:album:05jU4HqC6CTnRuP1e4yYnS,0.355,0.783,0.669,0,0.0826,-9.438,0.043,122.772,0.871,236693,1,9,4,35
1980,Let's Get Serious - Single Version,spotify:track:1wi8Rilm8ogWIqkL11eDZO,Jermaine Jackson,spotify:artist:1VDurPMbOKrNU8mcMP4X1P,"Hitsville USA, The Motown Collection 1972-1992",spotify:album:2e6N9mz4kFIR1sM9givKpK,0.096,0.759,0.781,2.84e-06,0.238,-9.028,0.0545,109.579,0.922,214467,1,1,4,0
